@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Mamba Focus TB 'University Red',['https://image.goat.com/750/attachments/product_template_pictures/images/080/160/958/original/562356_00.png.png'],,Nike,Mamba Focus TB 'University Red',AT1214 600,University Red/White/Metallic Silver/Black,,https://www.goat.com/sneakers/mamba-focus-tb-university-red-at1214-600
http://schema.org,Product,Mamba Focus 'Metallic Gold',['https://image.goat.com/750/attachments/product_template_pictures/images/079/499/618/original/557046_00.png.png'],2019-09-21T07:00:00.000Z,Nike,Mamba Focus 'Metallic Gold',AJ5899 004,Phantom/Metallic Gold,"Nike's Mamba Focus symbolizes Kobe Bryant's on-court transition to his alter ego. Updated in September 2019, this edition mimics a snake's metamorphosis in an embossed textile upper constructed with film overlays, an external heel cage and TPU eyelets inspired by reptilian eyes. Bryant's emblem on the tongue and a Swoosh outrigger are done in metallic gold. The sneaker utilizes a Zoom Air-boosted midsole and icy translucent rubber outsole.",https://www.goat.com/sneakers/mamba-focus-metallic-gold-aj5899-004
http://schema.org,Product,Mamba Focus TB 'Black',['https://image.goat.com/750/attachments/product_template_pictures/images/080/155/732/original/562353_00.png.png'],2019-08-01T23:59:59.999Z,Nike,Mamba Focus TB 'Black',AT1214 001,Black/Dark Grey/Metallic Silver/White,,https://www.goat.com/sneakers/mamba-focus-tb-black-at1214-001
http://schema.org,Product,Mamba Focus 'White Gum',['https://image.goat.com/750/attachments/product_template_pictures/images/079/967/960/original/503587_00.png.png'],2019-03-26T07:00:00.000Z,Nike,Mamba Focus 'White Gum',AJ5899 100,White/Gum Light Brown-Black,"Kobe Bryant said, ‘[‘Mamba Mentality’ is] a constant quest to try to be better today than you were yesterday.’ Building on Bryant's signature line with Nike, the Mamba Focus ‘White Gum’ sneaker is replete with performance technology, featuring an external heel cage and Zoom Air cushioning. The snakeskin-inspired silhouette echoes the transition and metamorphosis Bryant overcame as an NBA phenom and reminds athletes to embrace their inner 'Mamba Mentality.'",https://www.goat.com/sneakers/mamba-focus-white-gum-aj5899-100
http://schema.org,Product,Mamba Focus 'Black',['https://image.goat.com/750/attachments/product_template_pictures/images/080/160/550/original/503577_00.png.png'],2019-03-26T23:59:59.999Z,Nike,Mamba Focus 'Black',AJ5899 002,Black/Dark Grey-White-Black,"Known as one of the greatest basketball players of all time, Kobe Bryant led the Los Angeles Lakers to five NBA championships and won the MVP award in 2008. Bryant’s self-proclaimed ‘Black Mamba’ moniker became the name for his signature collaboration with Nike. Numerous silhouettes have joined the Mamba line, including the March 2019 reveal of the Mamba Focus ‘Black.’ This rendition is complete with a low-profile construction and snakeskin-inspired outsole.",https://www.goat.com/sneakers/mamba-focus-black-aj5899-002
http://schema.org,Product,Mamba Focus TB 'Gorge Green',['https://image.goat.com/750/attachments/product_template_pictures/images/080/337/059/original/562364_00.png.png'],,Nike,Mamba Focus TB 'Gorge Green',AT1214 300,Gorge Green/White/Metallic Silver/Black,,https://www.goat.com/sneakers/mamba-focus-tb-gorge-green-at1214-300
http://schema.org,Product,Mamba Focus 'Big Stage',['https://image.goat.com/750/attachments/product_template_pictures/images/021/012/752/original/AO4434_004.png.png'],2019-06-24T23:59:59.999Z,Nike,Mamba Focus 'Big Stage',AO4434 004,Phantom/Metallic Gold,,https://www.goat.com/sneakers/mamba-focus-big-stage-ao4434-004
http://schema.org,Product,Mamba Focus TB 'White',['https://image.goat.com/750/attachments/product_template_pictures/images/051/144/727/original/562355_00.png.png'],,Nike,Mamba Focus TB 'White',AT1214 100,White/Wolf Grey/Metallic Silver/Black,,https://www.goat.com/sneakers/mamba-focus-tb-white-at1214-100
http://schema.org,Product,Mamba Focus TB 'Game Royal',['https://image.goat.com/750/attachments/product_template_pictures/images/080/155/765/original/562387_00.png.png'],,Nike,Mamba Focus TB 'Game Royal',AT1214 400,Game Royal/White/Metallic Silver/Black,,https://www.goat.com/sneakers/mamba-focus-tb-game-royal-at1214-400
http://schema.org,Product,Mamba Focus 'Black Optimum Yellow',['https://image.goat.com/750/attachments/product_template_pictures/images/065/878/542/original/522116_00.png.png'],,Nike,Mamba Focus 'Black Optimum Yellow',AJ5899 001,Black/Black-Anthracite-Optimum Yellow,,https://www.goat.com/sneakers/mamba-focus-black-optimum-yellow-aj5899-001
http://schema.org,Product,Mamba Focus EP 'Black',['https://image.goat.com/750/attachments/product_template_pictures/images/020/661/201/original/AO4434_001.png.png'],,Nike,Mamba Focus EP 'Black',AO4434 001,Black/Anthracite-White,,https://www.goat.com/sneakers/mamba-focus-ep-black-ao4434-001
http://schema.org,Product,Mamba Focus 'Coastal Blue Red',['https://image.goat.com/750/attachments/product_template_pictures/images/032/657/009/original/AJ5899_400.png.png'],,Nike,Mamba Focus 'Coastal Blue Red',AJ5899 400,Coastal Blue/Team Red/White,,https://www.goat.com/sneakers/mamba-focus-coastal-blue-red-aj5899-400
http://schema.org,Product,Mamba Focus 'University Red',['https://image.goat.com/750/attachments/product_template_pictures/images/080/155/239/original/536524_00.png.png'],2019-05-12T23:59:59.999Z,Nike,Mamba Focus 'University Red',AJ5899 600,University Red/White/White/Black,,https://www.goat.com/sneakers/mamba-focus-university-red-aj5899-600
http://schema.org,Product,Mamba Focus 'Lakers',['https://image.goat.com/750/attachments/product_template_pictures/images/080/155/595/original/557038_00.png.png'],2019-09-01T23:59:59.999Z,Nike,Mamba Focus 'Lakers',AJ5899 005,Black/Amarillo/Field Purple,"Revealed in August 2019, the Nike Mamba Focus 'Lakers' pays homage to Kobe Bryant's time leading the Los Angeles squad in jersey-inspired colors. The sneaker is clad in a black embossed upper— inspired by a snake’s metamorphosis—with purple tongue branding, a molded external heel cage and bright medial Swoosh. A Zoom Air midsole and split-colored rubber outsole promote a responsive reaction and control on the court.",https://www.goat.com/sneakers/mamba-focus-lakers-aj5899-005
http://schema.org,Product,Mamba Focus TB 'Midnight Navy',['https://image.goat.com/750/attachments/product_template_pictures/images/027/840/387/original/AT1214_401.png.png'],,Nike,Mamba Focus TB 'Midnight Navy',AT1214 401,Midnight Navy/White/Metallic Silver/Black,,https://www.goat.com/sneakers/mamba-focus-tb-midnight-navy-at1214-401
http://schema.org,Product,Mamba Focus EP 'University Red',['https://image.goat.com/750/attachments/product_template_pictures/images/027/690/051/original/AO4434_600.png.png'],2019-03-01T23:59:59.999Z,Nike,Mamba Focus EP 'University Red',AO4434 600,University Red/Anthracite,,https://www.goat.com/sneakers/mamba-focus-ep-university-red-ao4434-600
http://schema.org,Product,Mamba Focus EP 'Coastal Blue',['https://image.goat.com/750/attachments/product_template_pictures/images/028/320/273/original/AO4434_400.png.png'],2019-06-01T23:59:59.999Z,Nike,Mamba Focus EP 'Coastal Blue',AO4434 400,Coastal Blue/Team Red/White,,https://www.goat.com/sneakers/mamba-focus-ep-coastal-blue-ao4434-400
