value,is_slotted,id,sku,slug,color,category,image_url,release_date,product_type,release_date_year,variation_id,product_condition,count_for_product_condition,goat_url
Mamba Instinct 'Pure Platinum',False,174883,852473 002,mamba-instinct-852473-002,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/350/707/original/174883_00.png.png,20170112,sneakers,2017,82b86cba-1dd2-440a-a33e-c56a8de0e8ae,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-852473-002
Mamba Instinct 'Black',False,213963,852473 010,kobe-mamba-instinct-852473-010,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/006/267/733/original/852473_010.png.png,,sneakers,,5b4dee08-035e-4a5d-99e7-7ab3ca2f9a67,used,5,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-010
Mamba Instinct 'White',False,241311,852473 100,mamba-instinct-852473-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/007/112/083/original/852473_100.png.png,,sneakers,,76461fdd-b412-4e72-9197-593620c2af70,used,4,https://www.goat.com/sneakers/mamba-instinct-852473-100
Mamba Instinct 'Fierce Purple',False,213359,852473 500,mamba-instinct-852473-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/006/267/736/original/852473_500.png.png,,sneakers,,1dd03eff-8ea2-4c63-ae04-aaf6a3f531c5,used,3,https://www.goat.com/sneakers/mamba-instinct-852473-500
Mamba Instinct 'Dark Grey',False,149288,852473 001,kobe-mamba-instinct-852473-001,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/783/631/original/852473_001.png.png,20161221,sneakers,2016,c3851c10-99d7-4199-ba6e-a8a610ea3557,new_no_defects,0,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-001
Mamba Instinct EP 'University Red',False,485286,884445 016,mamba-instinct-ep-university-red-884445-016,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/066/735/218/original/485286_00.png.png,,sneakers,,003a33ed-a77e-46b4-81ab-031591b7e092,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-ep-university-red-884445-016
Mamba Instinct 'University Red',False,227158,852473 016,kobe-mamba-instinct-852473-016,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/006/713/779/original/852473_016.png.png,,sneakers,,35f07a01-9c20-4b28-b872-a527d0301442,new_no_defects,0,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-016
Mamba Instinct 'Dark Grey',False,261889,852473 017,mamba-instinct-852473-017,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/007/683/074/original/852473_017.png.png,,sneakers,,242bb129-c8c9-4f12-917e-65e377607a5e,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-852473-017
Mamba Instinct 'Anthracite',False,176843,852473 006,mamba-instinct-852473-006,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/047/050/597/original/176843_00.png.png,20180505,sneakers,2018,ffac5112-681a-4912-b283-1e8bfb95871c,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-852473-006
Mamba Instinct EP 'Blue',False,1001080,884445 400,mamba-instinct-ep-blue-884445-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/074/925/989/original/884445_400.png.png,,sneakers,,d6225f8a-c017-4736-9765-c42e29cdd042,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-ep-blue-884445-400
Mamba Instinct 'Dust',False,461451,852473 003,mamba-instinct-dust-852473-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/015/239/063/original/852473_003.png.png,,sneakers,,938960bd-cccc-4da3-a0ae-2bf91f666e28,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-dust-852473-003
Mamba Instinct EP,False,439941,884445 001,mamba-instinct-ep-884445-001,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/014/278/063/original/884445_001.png.png,,sneakers,,76af9061-d0dd-4c08-8a11-81fec59a0918,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-ep-884445-001
Mamba Instinct 'Turbo Green',False,303848,852473 300,mamba-instinct-turbo-green-852473-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/009/411/407/original/852473_300.PNG.png,,sneakers,,405d2c51-2794-471e-8377-83b985b8d7e8,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-turbo-green-852473-300
Mamba Instinct 'Blue',False,351752,852473 400,mamba-instinct-852473-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/011/708/314/original/852473_400.png.png,20171101,sneakers,2017,3ad768e3-00e5-4f3c-b80e-c042b49c9579,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-852473-400
Mamba Instinct 'Team Red',False,253378,852473 600,mamba-instinct-852473-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/007/387/096/original/852473_600.png.png,,sneakers,,ed7a4f0b-f063-4b5d-9a4a-a6c7065b1614,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-852473-600
Mamba Instinct EP 'Wolf Grey',False,570816,884445 010,mamba-instinct-ep-wolf-grey-884445-010,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/029/226/892/original/884445_010.png.png,20170609,sneakers,2017,2f827569-cf3b-4c60-815f-05513f5d6057,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-ep-wolf-grey-884445-010
Mamba Instinct EP 'Turbo Green',False,485287,884445 300,mamba-instinct-ep-turbo-green-884445-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/017/664/959/original/884445_300.png.png,,sneakers,,55cf4f86-821e-4470-9042-e7db2a043d6c,new_no_defects,0,https://www.goat.com/sneakers/mamba-instinct-ep-turbo-green-884445-300
Mamba Instinct 'Chlorine Blue',False,357920,852473 401,kobe-mamba-instinct-852473-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/011/708/315/original/852473_401.png.png,,sneakers,,cf627f22-466f-4623-be62-3bea06d0b7d9,new_no_defects,0,https://www.goat.com/sneakers/kobe-mamba-instinct-852473-401
Mamba Instinct 'Cool Grey',False,511207,852473 022,mamba-instinct-cool-grey-852473-022,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/022/119/641/original/852473_022.png.png,,sneakers,,MASTER_VARIATION_511207_SALES_CHANNEL_1,,,https://www.goat.com/sneakers/mamba-instinct-cool-grey-852473-022
